task             aligned     junk     gap     噪声 zero-shot    T2L增益     描述占比
arc_challenge      77.22    76.58   +0.64   0.43     65.70   +11.52       6%
arc_easy           89.00    88.75   +0.25   0.17     77.48   +11.52       2%
boolq              84.95    84.16   +0.80   0.52     71.56   +13.39       6%
gsm8k              44.92    44.81   +0.11   1.52     40.71    +4.21       3%
hellaswag          66.98    65.38   +1.60   1.69     49.67   +17.31       9%
humaneval          38.41    35.67   +2.74   1.22     37.80    +0.61      n/a
openbookqa         75.13    71.60   +3.53   4.60     55.00   +20.13      18%
piqa               82.06    80.67   +1.40   1.85     73.01    +9.05      15%
winogrande         63.46    60.56   +2.89   2.37     45.54   +17.92      16%

任务数 9；gap 中位 1.40；描述占比 中位 8% 均值 9%
